Season,Name,Team,WAR,playerid
2003,Tim Hudson,OAK,5.8,921
2001,Mark Mulder,OAK,5.7,932
2001,Tim Hudson,OAK,5.1,921
2007,Tim Hudson,ATL,4.9,921
2001,Barry Zito,OAK,4.8,944
2002,Tim Hudson,OAK,4.7,921
2004,Tim Hudson,OAK,4.6,921
2003,Mark Mulder,OAK,4.5,932
2002,Barry Zito,OAK,4.5,944
2003,Barry Zito,OAK,4.4,944
2002,Mark Mulder,OAK,3.9,932
1999,Tim Hudson,OAK,3.8,921
2000,Tim Hudson,OAK,3.5,921
2004,Barry Zito,OAK,3.1,944
2005,Barry Zito,OAK,3.0,944
2011,Tim Hudson,ATL,2.9,921
2006,Tim Hudson,ATL,2.5,921
2004,Mark Mulder,OAK,2.4,932
2006,Barry Zito,OAK,2.2,944
2000,Barry Zito,OAK,2.1,944
2009,Barry Zito,SFG,2.1,944
2005,Mark Mulder,STL,1.9,932
2008,Tim Hudson,ATL,1.9,921
2005,Tim Hudson,ATL,1.8,921
2010,Barry Zito,SFG,1.8,944
2010,Tim Hudson,ATL,1.8,921
2014,Tim Hudson,SFG,1.7,921
2013,Tim Hudson,ATL,1.7,921
2012,Tim Hudson,ATL,1.6,921
2007,Barry Zito,SFG,1.6,944
2008,Barry Zito,SFG,1.3,944
2000,Mark Mulder,OAK,1.2,932
2012,Barry Zito,SFG,1.0,944
2009,Tim Hudson,ATL,0.6,921
2015,Tim Hudson,SFG,0.1,921
2008,Mark Mulder,STL,0.0,932
2007,Mark Mulder,STL,-0.4,932
2015,Barry Zito,OAK,-0.5,944
2006,Mark Mulder,STL,-0.5,932
2011,Barry Zito,SFG,-0.6,944
2013,Barry Zito,SFG,-0.7,944
