Season,Name,Team,WAR,Age,playerid
1996,Barry Larkin,CIN,6.8,32,335
1997,Barry Larkin,CIN,3.5,33,335
1991,Barry Larkin,CIN,6.0,27,335
1998,Barry Larkin,CIN,5.9,34,335
1995,Barry Larkin,CIN,5.3,31,335
2000,Barry Larkin,CIN,2.5,36,335
2005,Jhonny Peralta,CLE,4.3,23,1738
1993,Barry Larkin,CIN,3.5,29,335
1992,Barry Larkin,CIN,5.3,28,335
2006,Stephen Drew,ARI,1.0,23,4251
1999,Barry Larkin,CIN,5.1,35,335
1989,Barry Larkin,CIN,3.3,25,335
2016,Stephen Drew,WSN,0.8,33,4251
2001,Juan Uribe,COL,1.6,22,454
2011,Jhonny Peralta,DET,4.8,29,1738
2013,Jhonny Peralta,DET,3.6,31,1738
2008,J.J. Hardy,MIL,4.0,25,3797
2008,Stephen Drew,ARI,1.9,25,4251
2010,Stephen Drew,ARI,4.8,27,4251
2004,Juan Uribe,CHW,3.5,25,454
2009,Juan Uribe,SFG,2.8,30,454
1994,Barry Larkin,CIN,3.7,30,335
2008,Jhonny Peralta,CLE,3.3,26,1738
2020,Willy Adames,TBR,1.5,24,15986
1988,Barry Larkin,CIN,6.3,24,335
2011,J.J. Hardy,BAL,4.5,28,3797
2014,Jhonny Peralta,STL,4.6,32,1738
1990,Barry Larkin,CIN,5.4,26,335
2007,J.J. Hardy,MIL,3.9,24,3797
2014,Juan Uribe,LAD,3.4,35,454
2013,Stephen Drew,BOS,3.6,30,4251
2007,Jhonny Peralta,CLE,1.7,25,1738
2004,Barry Larkin,CIN,1.5,40,335
2013,Juan Uribe,LAD,3.8,34,454
2001,Barry Larkin,CIN,0.3,37,335
2018,Willy Adames,TBR,1.4,22,15986
2010,Juan Uribe,SFG,2.7,31,454
2003,Barry Larkin,CIN,0.8,39,335
2015,Jhonny Peralta,STL,2.1,33,1738
2013,J.J. Hardy,BAL,3.2,30,3797
2009,Stephen Drew,ARI,2.1,26,4251
2015,Juan Uribe,- - -,2.0,36,454
1986,Barry Larkin,CIN,1.1,22,335
2011,Stephen Drew,ARI,1.6,28,4251
2010,J.J. Hardy,MIN,2.1,27,3797
2003,Juan Uribe,COL,0.2,24,454
2019,Willy Adames,TBR,2.9,23,15986
2006,Jhonny Peralta,CLE,0.1,24,1738
2005,J.J. Hardy,MIL,1.6,22,3797
2010,Jhonny Peralta,- - -,1.3,28,1738
2005,Juan Uribe,CHW,2.2,26,454
2016,Jhonny Peralta,STL,0.0,34,1738
2016,J.J. Hardy,BAL,2.1,33,3797
2009,Jhonny Peralta,CLE,0.7,27,1738
2014,J.J. Hardy,BAL,3.0,31,3797
2006,J.J. Hardy,MIL,0.5,23,3797
2012,Jhonny Peralta,DET,2.0,30,1738
2008,Juan Uribe,CHW,0.3,29,454
2007,Stephen Drew,ARI,-0.6,24,4251
1987,Barry Larkin,CIN,1.0,23,335
2007,Juan Uribe,CHW,0.6,28,454
2009,J.J. Hardy,MIL,1.0,26,3797
2006,Juan Uribe,CHW,1.2,27,454
2012,Stephen Drew,- - -,0.1,29,4251
2002,Barry Larkin,CIN,-0.1,38,335
2012,J.J. Hardy,BAL,2.4,29,3797
2017,Stephen Drew,WSN,0.1,34,4251
2015,Stephen Drew,NYY,0.4,32,4251
2004,Jhonny Peralta,CLE,-0.3,22,1738
2003,Jhonny Peralta,CLE,0.3,21,1738
2002,Juan Uribe,COL,-1.6,23,454
2016,Juan Uribe,CLE,0.0,37,454
2017,J.J. Hardy,BAL,-0.8,34,3797
2011,Juan Uribe,LAD,0.0,32,454
2015,J.J. Hardy,BAL,0.0,32,3797
2012,Juan Uribe,LAD,0.0,33,454
2014,Stephen Drew,- - -,-0.8,31,4251
2017,Jhonny Peralta,STL,-0.5,35,1738
