Name,Inn,playerid
Yadier Molina,16978,7007
Buster Posey,8710.2,9166
Yasmani Grandal,6829.2,11368
Martin Maldonado,6045.1,6887
Mike Zunino,6039,13265
Christian Vazquez,3904.1,9774
Rene Rivera,3740,3648
Austin Hedges,3326.1,12976
Roberto Perez,3697.2,2900
Yan Gomes,6353.2,9627
Jason Castro,6787.1,8722
Wilson Ramos,7802.1,1433
Travis d'Arnaud,4253,7739
J.T. Realmuto,5952.1,11739
Sandy Leon,3380.2,5273
Austin Barnes,1934.2,12158
Alex Avila,7475.1,7476
Manny Pina,2278.1,2829
Tucker Barnhart,4934.1,10200
Gary Sanchez,3196.2,11442
Luke Maile,1648,13355
Jorge Alfaro,2443.2,12180
Danny Jansen,1680.1,16535
Salvador Perez,8047.1,7304
Kevin Plawecki,2455.1,13807
Curt Casali,2259,12510
James McCann,5041.2,12859
Willson Contreras,3839.2,11609
Austin Romine,2838.2,5491
Carson Kelly,1639.1,13620
Pedro Severino,1961.1,14523
Omar Narvaez,2947.1,13338
Mitch Garver,1821.1,15161
Kevan Smith,1578.2,12284
Elias Diaz,1981.1,11680
Stephen Vogt,3561,5000
Kurt Suzuki,12285,8259
Carlos Santana,2783.1,2396
