Season,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,Batted_Balls,HRperBB
1954,5251,6058,1418,930,246,56,186,778,741,634,,625,35,59,4685,0.040
1955,5193,6037,1406,931,230,44,201,857,800,674,62,718,41,54,4529,0.044
1956,5098,5884,1315,888,212,36,179,720,680,649,91,738,17,34,4394,0.041
1957,5242,5944,1325,952,188,38,147,690,648,550,46,848,33,41,4435,0.033
1958,5173,5804,1297,909,166,50,172,668,627,495,22,850,25,43,4366,0.039
1959,5282,6033,1360,970,196,46,148,705,667,591,61,891,28,32,4423,0.033
1960,5227,5935,1333,953,216,38,126,662,606,529,46,837,27,50,4440,0.028
1961,5189,5940,1358,968,193,40,157,735,673,596,53,796,23,36,4429,0.035
1962,5628,6362,1510,1113,192,65,140,842,781,572,65,886,32,47,4789,0.029
1963,5428,6045,1361,1039,178,34,110,640,584,453,47,867,26,53,4614,0.024
1964,5499,6120,1375,1077,180,39,79,614,555,438,55,893,19,44,4650,0.017
1965,5425,6107,1329,1026,193,32,78,608,548,492,57,891,52,35,4569,0.017
1966,5471,6066,1399,1063,201,27,108,606,565,430,54,830,49,32,4673,0.023
1967,5456,6110,1285,962,203,38,82,519,465,485,75,881,43,35,4610,0.018
1968,5354,5935,1234,929,202,36,67,470,434,439,61,980,18,45,4419,0.015
1969,5532,6166,1405,1071,185,52,97,645,584,484,63,823,21,33,4742,0.020
1970,5606,6293,1515,1128,233,67,87,749,695,541,67,841,24,50,4815,0.018
1971,5523,6155,1469,1123,213,38,95,663,631,489,62,755,21,50,4818,0.020
1972,5270,5903,1349,1034,178,39,98,584,543,480,53,786,24,40,4524,0.022
1973,5604,6267,1473,1115,219,29,110,675,623,497,92,795,28,57,4866,0.023
1974,5557,6332,1511,1107,231,34,139,798,744,597,95,820,28,64,4801,0.029
1975,5453,6246,1355,988,218,31,118,648,606,611,72,825,31,47,4675,0.025
1976,5472,6125,1371,1046,200,34,91,608,561,486,71,744,29,47,4775,0.019
1977,5590,6328,1484,1042,223,28,191,769,729,588,67,896,23,44,4738,0.040
1978,5437,6225,1435,1008,251,27,149,727,686,610,76,818,20,47,4666,0.032
1979,5490,6188,1443,1016,220,24,183,739,713,556,62,834,23,36,4692,0.039
1980,5568,6221,1462,1081,209,24,148,663,638,492,52,846,24,41,4763,0.031
1981,3751,4189,984,749,133,20,82,450,427,331,38,550,17,27,3228,0.025
1982,5642,6361,1487,1095,222,32,138,691,661,528,83,804,30,55,4893,0.028
1983,5440,6130,1358,981,197,34,146,654,613,541,61,925,22,40,4555,0.032
1984,5399,6042,1316,978,213,23,102,580,530,488,56,829,14,48,4618,0.022
1985,5502,6224,1434,1051,226,28,129,682,632,539,69,846,31,46,4702,0.027
1986,5471,6101,1373,997,232,14,130,638,599,478,58,966,32,39,4544,0.029
1987,5517,6114,1389,1005,236,23,125,635,594,445,70,923,31,39,4633,0.027
1988,5431,6045,1346,1005,217,25,99,628,587,437,65,947,32,50,4534,0.022
1989,5465,6124,1313,966,241,17,89,554,513,507,77,885,27,41,4621,0.019
1990,5491,6179,1436,1058,222,27,129,728,669,538,78,952,31,48,4587,0.028
1991,5408,6159,1366,1038,191,29,108,665,605,583,50,957,28,46,4497,0.024
1992,5368,6038,1333,1026,201,34,72,548,499,503,36,899,24,40,4509,0.016
1993,5588,6261,1458,1066,234,28,130,675,639,492,48,937,27,47,4698,0.028
1994,3904,4371,1055,751,160,29,115,532,505,366,33,687,19,31,3248,0.035
1995,4942,5544,1303,941,191,31,140,634,593,468,46,1023,30,35,3954,0.035
1996,5538,6185,1396,998,215,33,150,703,661,516,59,1190,22,35,4383,0.034
1997,5544,6216,1488,1039,242,33,174,742,706,498,46,1079,33,36,4501,0.039
1998,5459,6077,1374,979,209,27,159,669,630,447,31,1056,36,43,4446,0.036
1999,5567,6338,1480,1017,253,23,187,793,761,594,34,1030,52,51,4588,0.041
2000,5481,6312,1408,904,265,28,211,798,756,668,42,1083,51,46,4444,0.047
2001,5493,6169,1399,902,264,27,206,758,714,519,45,1062,56,44,4475,0.046
2002,5554,6146,1464,994,286,29,155,713,693,428,50,940,53,44,4658,0.033
2003,5458,6036,1328,919,260,25,124,574,544,407,43,985,72,28,4501,0.028
2004,5542,6244,1450,991,226,30,203,761,731,536,45,1092,62,35,4485,0.045
2005,5433,6134,1374,920,284,21,149,685,653,541,30,1094,67,33,4372,0.034
2006,5628,6394,1552,1034,307,58,153,820,787,601,61,959,51,48,4717,0.032
2007,5614,6282,1544,1104,276,35,129,735,706,511,41,864,41,55,4805,0.027
2008,5506,6194,1455,1018,271,29,137,700,659,543,62,1032,43,38,4512,0.030
2009,5592,6385,1511,1049,278,39,145,780,739,607,76,1068,63,44,4568,0.032
2010,5426,6140,1368,949,270,29,120,667,621,533,57,1184,46,50,4292,0.028
2011,5436,6094,1395,1013,237,28,117,644,613,498,61,1087,45,43,4392,0.027
2012,5438,6091,1369,961,269,23,116,637,607,481,49,1156,52,38,4320,0.027
2013,5491,6145,1447,1011,281,17,138,649,618,476,45,1146,57,48,4393,0.031
2014,5560,6231,1476,1002,302,38,134,718,686,519,30,1246,61,43,4357,0.031
2015,5385,6090,1346,870,263,26,187,667,638,563,31,1258,60,30,4157,0.045
2016,5518,6164,1375,893,272,21,189,725,680,525,31,1321,58,32,4229,0.045
2017,5408,6191,1347,794,312,20,221,770,730,649,41,1380,64,38,4066,0.054
2018,5572,6358,1394,830,296,33,235,804,756,647,47,1436,61,39,4175,0.056
2019,5493,6281,1414,813,302,20,279,886,861,607,47,1356,81,45,4182,0.067
2020,2042,2316,523,302,97,6,118,349,327,228,7,471,30,12,1583,0.075
