Season,Team,Level,Age,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1986,CIN,MLB,22,41,169,3,27,19,8,5.30%,12.40%,0.119,0.309,0.283,0.32,0.403,0.318,94,1.6,0.3,5,1.1
1987,CIN,MLB,23,125,488,12,64,43,21,7.40%,10.70%,0.128,0.251,0.244,0.306,0.371,0.299,76,1.5,-13.4,6.2,1.0
1988,CIN,MLB,24,151,652,12,91,56,40,6.30%,3.70%,0.133,0.291,0.296,0.347,0.429,0.347,122,4.8,20.2,18.9,6.3
1989,CIN,MLB,25,97,357,4,47,36,10,5.60%,6.40%,0.105,0.35,0.342,0.375,0.446,0.362,129,-0.1,11.3,8.3,3.3
1990,CIN,MLB,26,158,681,7,85,67,30,7.20%,7.20%,0.094,0.317,0.301,0.358,0.396,0.341,107,3.7,9.4,18.3,5.4
1991,CIN,MLB,27,123,527,20,88,69,24,10.40%,12.10%,0.205,0.314,0.302,0.378,0.506,0.393,148,2.4,31.2,9.4,6.0
1992,CIN,MLB,28,140,609,12,76,78,15,10.30%,9.50%,0.15,0.319,0.304,0.377,0.454,0.371,134,1.3,24.2,5.5,5.3
1993,CIN,MLB,29,100,440,8,57,51,14,11.60%,7.50%,0.13,0.327,0.315,0.394,0.445,0.372,126,2.5,16.5,3.2,3.5
1994,CIN,MLB,30,110,501,9,78,52,26,12.80%,11.60%,0.141,0.301,0.279,0.369,0.419,0.349,109,4.3,10.2,10.9,3.7
1995,CIN,MLB,31,131,567,15,98,66,51,10.80%,8.60%,0.173,0.328,0.319,0.394,0.492,0.389,136,7.9,33.3,1.7,5.3
1996,CIN,MLB,32,152,627,33,117,89,36,15.30%,8.30%,0.269,0.276,0.298,0.41,0.567,0.417,157,2.5,47.5,5.7,6.8
1997,CIN,MLB,33,73,276,4,34,20,14,17.00%,8.70%,0.156,0.34,0.317,0.44,0.473,0.402,143,1.5,16.5,9.9,3.5
1998,CIN,MLB,34,145,626,17,93,72,26,12.60%,11.00%,0.195,0.327,0.309,0.397,0.504,0.391,136,3.9,32,8.6,5.9
1999,CIN,MLB,35,161,687,12,108,75,30,13.50%,8.30%,0.127,0.307,0.293,0.39,0.42,0.362,108,2.4,10,20.5,5.1
2000,CIN,MLB,36,102,447,11,71,41,14,10.70%,6.90%,0.174,0.319,0.313,0.389,0.487,0.384,122,0.1,13.4,-0.8,2.5
2001,CIN,MLB,37,45,185,2,29,17,3,14.60%,13.50%,0.115,0.295,0.256,0.373,0.372,0.333,97,-0.3,-1,-2.2,0.3
2002,CIN,MLB,38,145,567,7,72,47,13,7.80%,10.10%,0.122,0.26,0.245,0.305,0.367,0.29,70,2.8,-18.3,-1.2,-0.1
2003,CIN,MLB,39,70,265,2,39,18,2,8.30%,12.10%,0.1,0.319,0.282,0.345,0.382,0.324,91,2.4,-0.5,0.2,0.8
2004,CIN,MLB,40,111,386,8,55,44,2,8.80%,10.10%,0.13,0.305,0.289,0.352,0.419,0.337,99,-1.7,-2,4.4,1.5
